t,count,max,mean,min,stddev,p50,p75,p95,p98,p99,p999,mean_rate,m1_rate,m5_rate,m15_rate,rate_unit,duration_unit
1439799148,18,1.000000,0.611111,0.000000,0.501631,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,17.668115,0.000000,0.000000,0.000000,calls/second,milliseconds
1439799149,74,1.000000,0.378378,0.000000,0.488293,0.000000,1.000000,1.000000,1.000000,1.000000,1.000000,36.918838,0.000000,0.000000,0.000000,calls/second,milliseconds
1439799150,163,1.000000,0.349693,0.000000,0.478343,0.000000,1.000000,1.000000,1.000000,1.000000,1.000000,54.280552,0.000000,0.000000,0.000000,calls/second,milliseconds
1439799151,303,1.000000,0.260726,0.000000,0.439757,0.000000,1.000000,1.000000,1.000000,1.000000,1.000000,75.386248,0.000000,0.000000,0.000000,calls/second,milliseconds
1439799152,517,1.000000,0.201161,0.000000,0.401256,0.000000,0.000000,1.000000,1.000000,1.000000,1.000000,103.353451,103.400000,103.400000,103.400000,calls/second,milliseconds
1439799153,633,12.000000,0.221169,0.000000,0.657282,0.000000,0.000000,1.000000,1.000000,1.000000,12.000000,105.462135,103.400000,103.400000,103.400000,calls/second,milliseconds
1439799154,1127,12.000000,0.149805,0.000000,0.557266,0.000000,0.000000,1.000000,1.000000,1.000000,11.826000,160.894282,103.400000,103.400000,103.400000,calls/second,milliseconds
1439799155,1462,6.000000,0.117704,0.000000,0.398094,0.000000,0.000000,1.000000,1.000000,1.000000,5.942000,182.686464,103.400000,103.400000,103.400000,calls/second,milliseconds
1439799156,1823,9.000000,0.117704,0.000000,0.522854,0.000000,0.000000,1.000000,1.000000,1.000000,8.942000,202.507266,103.400000,103.400000,103.400000,calls/second,milliseconds
1439799157,2014,13.000000,0.125486,0.000000,0.656636,0.000000,0.000000,1.000000,1.000000,1.000000,12.884000,192.144043,118.911384,106.606538,104.474789,calls/second,milliseconds
1439799158,2507,7.000000,0.085603,0.000000,0.407413,0.000000,0.000000,1.000000,1.000000,1.000000,6.971000,227.888045,118.911384,106.606538,104.474789,calls/second,milliseconds
1439799159,2867,7.000000,0.072957,0.000000,0.389152,0.000000,0.000000,1.000000,1.000000,1.000000,6.971000,229.070539,118.911384,106.606538,104.474789,calls/second,milliseconds
1439799160,3707,7.000000,0.061284,0.000000,0.381075,0.000000,0.000000,0.000000,1.000000,1.000000,6.971000,285.115994,118.911384,106.606538,104.474789,calls/second,milliseconds
1439799161,4281,7.000000,0.056420,0.000000,0.372794,0.000000,0.000000,0.000000,1.000000,1.000000,6.971000,305.745917,118.911384,106.606538,104.474789,calls/second,milliseconds
1439799163,4621,7.000000,0.057393,0.000000,0.376544,0.000000,0.000000,0.000000,1.000000,1.000000,6.971000,290.387912,150.964668,113.436025,106.775754,calls/second,milliseconds
1439799163,4750,7.000000,0.055447,0.000000,0.374243,0.000000,0.000000,0.000000,1.000000,1.000000,6.971000,296.824041,150.964668,113.436025,106.775754,calls/second,milliseconds
1439799164,5665,7.000000,0.050584,0.000000,0.368382,0.000000,0.000000,0.000000,1.000000,1.000000,6.971000,333.169578,150.964668,113.436025,106.775754,calls/second,milliseconds
1439799166,5883,7.000000,0.050584,0.000000,0.368382,0.000000,0.000000,0.000000,1.000000,1.000000,6.971000,307.719777,150.964668,113.436025,106.775754,calls/second,milliseconds
1439799166,5910,7.000000,0.050584,0.000000,0.368382,0.000000,0.000000,0.000000,1.000000,1.000000,6.971000,308.821675,150.964668,113.436025,106.775754,calls/second,milliseconds
1439799167,7392,7.000000,0.049611,0.000000,0.369834,0.000000,0.000000,0.000000,1.000000,1.000000,6.971000,369.577175,183.477434,120.777410,109.273389,calls/second,milliseconds
1439799168,7762,15.000000,0.065175,0.000000,0.595858,0.000000,0.000000,0.000000,1.000000,1.000000,14.768000,369.531528,183.477434,120.777410,109.273389,calls/second,milliseconds
1439799169,7977,15.000000,0.065175,0.000000,0.595858,0.000000,0.000000,0.000000,1.000000,1.000000,14.768000,362.537073,183.477434,120.777410,109.273389,calls/second,milliseconds
1439799172,8140,15.000000,0.066148,0.000000,0.596568,0.000000,0.000000,0.000000,1.000000,1.000000,14.768000,321.907700,180.704779,121.240583,109.492373,calls/second,milliseconds
1439799172,8149,15.000000,0.066148,0.000000,0.596568,0.000000,0.000000,0.000000,1.000000,1.000000,14.768000,322.109199,180.704779,121.240583,109.492373,calls/second,milliseconds
1439799172,8156,15.000000,0.066148,0.000000,0.596568,0.000000,0.000000,0.000000,1.000000,1.000000,14.768000,322.217675,180.704779,121.240583,109.492373,calls/second,milliseconds
1439799173,8938,15.000000,0.063230,0.000000,0.594432,0.000000,0.000000,0.000000,1.000000,1.000000,14.768000,343.719132,180.704779,121.240583,109.492373,calls/second,milliseconds
1439799174,9710,15.000000,0.063230,0.000000,0.594432,0.000000,0.000000,0.000000,1.000000,1.000000,14.768000,359.606638,180.704779,121.240583,109.492373,calls/second,milliseconds
1439799177,9957,15.000000,0.061284,0.000000,0.591352,0.000000,0.000000,0.000000,1.000000,1.000000,14.768000,331.303355,195.264309,125.233209,110.895735,calls/second,milliseconds
1439799177,9975,15.000000,0.061284,0.000000,0.591352,0.000000,0.000000,0.000000,1.000000,1.000000,14.768000,331.703445,195.264309,125.233209,110.895735,calls/second,milliseconds
1439799177,9988,15.000000,0.061284,0.000000,0.591352,0.000000,0.000000,0.000000,1.000000,1.000000,14.768000,332.015326,195.264309,125.233209,110.895735,calls/second,milliseconds
1439799178,10915,15.000000,0.054475,0.000000,0.586234,0.000000,0.000000,0.000000,1.000000,1.000000,14.768000,352.072221,195.264309,125.233209,110.895735,calls/second,milliseconds
1439799179,11609,15.000000,0.050584,0.000000,0.557650,0.000000,0.000000,0.000000,1.000000,1.000000,14.768000,362.743796,195.264309,125.233209,110.895735,calls/second,milliseconds
1439799184,11858,15.000000,0.050584,0.000000,0.557650,0.000000,0.000000,0.000000,1.000000,1.000000,14.768000,322.288256,210.066942,129.450745,112.388830,calls/second,milliseconds
1439799184,11879,15.000000,0.050584,0.000000,0.557650,0.000000,0.000000,0.000000,1.000000,1.000000,14.768000,322.704204,210.066942,129.450745,112.388830,calls/second,milliseconds
1439799184,11885,15.000000,0.050584,0.000000,0.557650,0.000000,0.000000,0.000000,1.000000,1.000000,14.768000,322.753590,210.066942,129.450745,112.388830,calls/second,milliseconds
1439799184,11892,15.000000,0.050584,0.000000,0.557650,0.000000,0.000000,0.000000,1.000000,1.000000,14.768000,322.852065,210.066942,129.450745,112.388830,calls/second,milliseconds
1439799184,12026,15.000000,0.050584,0.000000,0.557650,0.000000,0.000000,0.000000,1.000000,1.000000,14.768000,325.012721,210.066942,129.450745,112.388830,calls/second,milliseconds
1439799185,12790,15.000000,0.053502,0.000000,0.561728,0.000000,0.000000,0.000000,1.000000,1.000000,14.768000,336.566186,210.066942,129.450745,112.388830,calls/second,milliseconds
1439799186,13388,15.000000,0.053502,0.000000,0.572034,0.000000,0.000000,0.000000,1.000000,1.000000,14.768000,343.275185,210.066942,129.450745,112.388830,calls/second,milliseconds
1439799187,13936,15.000000,0.053502,0.000000,0.572034,0.000000,0.000000,0.000000,1.000000,1.000000,14.768000,348.379632,226.596404,134.200210,114.075314,calls/second,milliseconds
1439799189,14080,15.000000,0.052529,0.000000,0.571272,0.000000,0.000000,0.000000,1.000000,1.000000,14.768000,335.558227,226.596404,134.200210,114.075314,calls/second,milliseconds
1439799189,14123,15.000000,0.052529,0.000000,0.571272,0.000000,0.000000,0.000000,1.000000,1.000000,14.768000,336.252836,226.596404,134.200210,114.075314,calls/second,milliseconds
1439799190,15371,15.000000,0.052529,0.000000,0.571272,0.000000,0.000000,0.000000,1.000000,1.000000,14.768000,357.456012,226.596404,134.200210,114.075314,calls/second,milliseconds
1439799191,16618,15.000000,0.049611,0.000000,0.567258,0.000000,0.000000,0.000000,1.000000,1.000000,14.768000,377.668253,226.596404,134.200210,114.075314,calls/second,milliseconds
1439799194,16692,15.000000,0.049611,0.000000,0.567258,0.000000,0.000000,0.000000,1.000000,1.000000,14.768000,355.415413,252.502301,141.082693,116.493727,calls/second,milliseconds
1439799194,16698,15.000000,0.049611,0.000000,0.567258,0.000000,0.000000,0.000000,1.000000,1.000000,14.768000,355.444395,252.502301,141.082693,116.493727,calls/second,milliseconds
1439799194,16731,15.000000,0.049611,0.000000,0.567258,0.000000,0.000000,0.000000,1.000000,1.000000,14.768000,355.968564,252.502301,141.082693,116.493727,calls/second,milliseconds
1439799195,18028,15.000000,0.047665,0.000000,0.558779,0.000000,0.000000,0.000000,1.000000,1.000000,14.768000,375.572193,252.502301,141.082693,116.493727,calls/second,milliseconds
1439799196,18868,15.000000,0.047665,0.000000,0.558779,0.000000,0.000000,0.000000,1.000000,1.000000,14.768000,385.031252,252.502301,141.082693,116.493727,calls/second,milliseconds
1439799200,19261,15.000000,0.046693,0.000000,0.557989,0.000000,0.000000,0.000000,0.420000,1.000000,14.768000,364.906130,273.330547,147.229946,118.690432,calls/second,milliseconds
1439799200,19271,15.000000,0.046693,0.000000,0.557989,0.000000,0.000000,0.000000,0.420000,1.000000,14.768000,364.992303,273.330547,147.229946,118.690432,calls/second,milliseconds
1439799200,19276,15.000000,0.046693,0.000000,0.557989,0.000000,0.000000,0.000000,0.420000,1.000000,14.768000,365.006876,273.330547,147.229946,118.690432,calls/second,milliseconds
1439799200,19478,15.000000,0.044747,0.000000,0.554649,0.000000,0.000000,0.000000,0.000000,1.000000,14.768000,367.487687,273.330547,147.229946,118.690432,calls/second,milliseconds
1439799201,20434,15.000000,0.043774,0.000000,0.553848,0.000000,0.000000,0.000000,0.000000,1.000000,14.768000,378.391481,273.330547,147.229946,118.690432,calls/second,milliseconds
1439799202,21329,15.000000,0.044747,0.000000,0.554649,0.000000,0.000000,0.000000,0.000000,1.000000,14.768000,387.780795,284.657811,151.655795,120.332032,calls/second,milliseconds
1439799208,21645,15.000000,0.043774,0.000000,0.552087,0.000000,0.000000,0.000000,0.000000,1.000000,14.768000,356.331734,266.919040,150.187138,120.013296,calls/second,milliseconds
1439799208,21650,15.000000,0.043774,0.000000,0.552087,0.000000,0.000000,0.000000,0.000000,1.000000,14.768000,356.292000,266.919040,150.187138,120.013296,calls/second,milliseconds
1439799208,21658,15.000000,0.043774,0.000000,0.552087,0.000000,0.000000,0.000000,0.000000,1.000000,14.768000,356.301857,266.919040,150.187138,120.013296,calls/second,milliseconds
1439799208,21667,15.000000,0.043774,0.000000,0.552087,0.000000,0.000000,0.000000,0.000000,1.000000,14.768000,356.337562,266.919040,150.187138,120.013296,calls/second,milliseconds
1439799208,21678,15.000000,0.043774,0.000000,0.552087,0.000000,0.000000,0.000000,0.000000,1.000000,14.768000,356.406358,266.919040,150.187138,120.013296,calls/second,milliseconds
1439799208,21771,15.000000,0.043774,0.000000,0.552087,0.000000,0.000000,0.000000,0.000000,1.000000,14.768000,356.888007,266.919040,150.187138,120.013296,calls/second,milliseconds
1439799209,22565,15.000000,0.042802,0.000000,0.551281,0.000000,0.000000,0.000000,0.000000,1.000000,14.768000,363.934234,266.919040,150.187138,120.013296,calls/second,milliseconds
1439799210,23182,15.000000,0.041829,0.000000,0.550472,0.000000,0.000000,0.000000,0.000000,1.000000,14.768000,367.947399,266.919040,150.187138,120.013296,calls/second,milliseconds
1439799212,23543,15.000000,0.041829,0.000000,0.550472,0.000000,0.000000,0.000000,0.000000,1.000000,14.768000,362.121057,275.864548,153.965777,121.447014,calls/second,milliseconds
1439799212,23557,15.000000,0.041829,0.000000,0.550472,0.000000,0.000000,0.000000,0.000000,1.000000,14.768000,362.275089,275.864548,153.965777,121.447014,calls/second,milliseconds
1439799213,24427,15.000000,0.042802,0.000000,0.551281,0.000000,0.000000,0.000000,0.000000,1.000000,14.768000,370.099302,275.864548,153.965777,121.447014,calls/second,milliseconds
1439799214,25081,15.000000,0.041829,0.000000,0.550472,0.000000,0.000000,0.000000,0.000000,1.000000,14.768000,374.336740,275.864548,153.965777,121.447014,calls/second,milliseconds
1439799216,25375,15.000000,0.041829,0.000000,0.550472,0.000000,0.000000,0.000000,0.000000,1.000000,14.768000,364.388717,275.864548,153.965777,121.447014,calls/second,milliseconds
1439799217,25391,15.000000,0.041829,0.000000,0.550472,0.000000,0.000000,0.000000,0.000000,1.000000,14.768000,364.508961,275.864548,153.965777,121.447014,calls/second,milliseconds
1439799217,25755,15.000000,0.041829,0.000000,0.550472,0.000000,0.000000,0.000000,0.000000,1.000000,14.768000,367.920920,289.227961,158.743092,123.228466,calls/second,milliseconds
1439799218,26597,15.000000,0.043774,0.000000,0.552087,0.000000,0.000000,0.000000,0.000000,1.000000,14.768000,374.586723,289.227961,158.743092,123.228466,calls/second,milliseconds
1439799219,27238,15.000000,0.043774,0.000000,0.552087,0.000000,0.000000,0.000000,0.000000,1.000000,14.768000,378.293688,289.227961,158.743092,123.228466,calls/second,milliseconds
1439799221,27291,15.000000,0.043774,0.000000,0.552087,0.000000,0.000000,0.000000,0.000000,1.000000,14.768000,367.399756,289.227961,158.743092,123.228466,calls/second,milliseconds
1439799221,27295,15.000000,0.043774,0.000000,0.552087,0.000000,0.000000,0.000000,0.000000,1.000000,14.768000,367.394237,289.227961,158.743092,123.228466,calls/second,milliseconds
1439799222,27964,7.000000,0.029183,0.000000,0.294587,0.000000,0.000000,0.000000,0.000000,1.000000,6.913000,372.849660,301.490912,163.434834,124.997833,calls/second,milliseconds
1439799223,28667,7.000000,0.031128,0.000000,0.300930,0.000000,0.000000,0.000000,0.000000,1.000000,6.913000,377.187405,301.490912,163.434834,124.997833,calls/second,milliseconds
1439799224,29203,7.000000,0.032101,0.000000,0.305644,0.000000,0.000000,0.000000,0.000000,1.000000,6.913000,379.251622,301.490912,163.434834,124.997833,calls/second,milliseconds
1439799226,29236,7.000000,0.033074,0.000000,0.307130,0.000000,0.000000,0.000000,0.420000,1.000000,6.913000,367.427068,301.490912,163.434834,124.997833,calls/second,milliseconds
1439799226,29258,7.000000,0.033074,0.000000,0.307130,0.000000,0.000000,0.000000,0.420000,1.000000,6.913000,367.627468,301.490912,163.434834,124.997833,calls/second,milliseconds
1439799227,29714,7.000000,0.033074,0.000000,0.307130,0.000000,0.000000,0.000000,0.420000,1.000000,6.913000,371.421726,305.369485,166.518485,126.244379,calls/second,milliseconds
1439799228,30438,7.000000,0.033074,0.000000,0.307130,0.000000,0.000000,0.000000,0.420000,1.000000,6.913000,375.766478,305.369485,166.518485,126.244379,calls/second,milliseconds
1439799234,30900,7.000000,0.034047,0.000000,0.308605,0.000000,0.000000,0.000000,1.000000,1.000000,6.913000,352.866072,299.838998,167.670219,126.853550,calls/second,milliseconds
1439799234,30920,7.000000,0.034047,0.000000,0.308605,0.000000,0.000000,0.000000,1.000000,1.000000,6.913000,353.037893,299.838998,167.670219,126.853550,calls/second,milliseconds
1439799234,30948,7.000000,0.034047,0.000000,0.308605,0.000000,0.000000,0.000000,1.000000,1.000000,6.913000,353.283018,299.838998,167.670219,126.853550,calls/second,milliseconds
1439799234,30962,7.000000,0.034047,0.000000,0.308605,0.000000,0.000000,0.000000,1.000000,1.000000,6.913000,353.371837,299.838998,167.670219,126.853550,calls/second,milliseconds
1439799234,30970,7.000000,0.034047,0.000000,0.308605,0.000000,0.000000,0.000000,1.000000,1.000000,6.913000,353.402171,299.838998,167.670219,126.853550,calls/second,milliseconds
1439799235,30985,7.000000,0.034047,0.000000,0.308605,0.000000,0.000000,0.000000,1.000000,1.000000,6.913000,353.503295,299.838998,167.670219,126.853550,calls/second,milliseconds
1439799235,31290,7.000000,0.033074,0.000000,0.307130,0.000000,0.000000,0.000000,0.420000,1.000000,6.913000,355.563822,299.838998,167.670219,126.853550,calls/second,milliseconds
1439799236,32150,7.000000,0.034047,0.000000,0.308605,0.000000,0.000000,0.000000,1.000000,1.000000,6.913000,361.231149,299.838998,167.670219,126.853550,calls/second,milliseconds
1439799238,32809,7.000000,0.034047,0.000000,0.305433,0.000000,0.000000,0.000000,1.000000,1.000000,6.913000,359.995621,306.408229,171.212779,128.267100,calls/second,milliseconds
1439799238,32812,7.000000,0.034047,0.000000,0.305433,0.000000,0.000000,0.000000,1.000000,1.000000,6.913000,359.969262,306.408229,171.212779,128.267100,calls/second,milliseconds
1439799239,33632,7.000000,0.030156,0.000000,0.279214,0.000000,0.000000,0.000000,1.000000,1.000000,6.855000,365.559224,306.408229,171.212779,128.267100,calls/second,milliseconds
1439799240,34332,2.000000,0.023346,0.000000,0.174966,0.000000,0.000000,0.000000,0.420000,1.000000,2.000000,369.149986,306.408229,171.212779,128.267100,calls/second,milliseconds
1439799243,34754,2.000000,0.022374,0.000000,0.172290,0.000000,0.000000,0.000000,0.000000,1.000000,2.000000,361.880900,312.883973,174.786039,129.702736,calls/second,milliseconds
1439799243,34758,2.000000,0.022374,0.000000,0.172290,0.000000,0.000000,0.000000,0.000000,1.000000,2.000000,361.852884,312.883973,174.786039,129.702736,calls/second,milliseconds
1439799243,34762,2.000000,0.022374,0.000000,0.172290,0.000000,0.000000,0.000000,0.000000,1.000000,2.000000,361.865697,312.883973,174.786039,129.702736,calls/second,milliseconds
1439799244,35706,2.000000,0.021401,0.000000,0.169567,0.000000,0.000000,0.000000,0.000000,1.000000,2.000000,368.095318,312.883973,174.786039,129.702736,calls/second,milliseconds
1439799245,36359,2.000000,0.020428,0.000000,0.166793,0.000000,0.000000,0.000000,0.000000,1.000000,2.000000,370.996856,312.883973,174.786039,129.702736,calls/second,milliseconds
1439799248,36871,2.000000,0.020428,0.000000,0.166793,0.000000,0.000000,0.000000,0.000000,1.000000,2.000000,363.296009,321.816294,178.915101,131.336511,calls/second,milliseconds
1439799248,36878,2.000000,0.020428,0.000000,0.166793,0.000000,0.000000,0.000000,0.000000,1.000000,2.000000,363.304635,321.816294,178.915101,131.336511,calls/second,milliseconds
1439799248,36883,2.000000,0.020428,0.000000,0.166793,0.000000,0.000000,0.000000,0.000000,1.000000,2.000000,363.310982,321.816294,178.915101,131.336511,calls/second,milliseconds
1439799249,37341,2.000000,0.020428,0.000000,0.166793,0.000000,0.000000,0.000000,0.000000,1.000000,2.000000,366.083632,321.816294,178.915101,131.336511,calls/second,milliseconds
1439799250,38125,2.000000,0.020428,0.000000,0.166793,0.000000,0.000000,0.000000,0.000000,1.000000,2.000000,370.143744,321.816294,178.915101,131.336511,calls/second,milliseconds
1439799257,38781,2.000000,0.018482,0.000000,0.154922,0.000000,0.000000,0.000000,0.000000,1.000000,2.000000,351.979758,300.527271,179.262362,131.991009,calls/second,milliseconds
1439799257,38787,2.000000,0.018482,0.000000,0.154922,0.000000,0.000000,0.000000,0.000000,1.000000,2.000000,351.986830,300.527271,179.262362,131.991009,calls/second,milliseconds
1439799257,38804,2.000000,0.018482,0.000000,0.154922,0.000000,0.000000,0.000000,0.000000,1.000000,2.000000,352.079224,300.527271,179.262362,131.991009,calls/second,milliseconds
1439799257,38815,2.000000,0.018482,0.000000,0.154922,0.000000,0.000000,0.000000,0.000000,1.000000,2.000000,352.134483,300.527271,179.262362,131.991009,calls/second,milliseconds
1439799257,38833,2.000000,0.018482,0.000000,0.154922,0.000000,0.000000,0.000000,0.000000,1.000000,2.000000,352.253109,300.527271,179.262362,131.991009,calls/second,milliseconds
1439799257,38842,2.000000,0.018482,0.000000,0.154922,0.000000,0.000000,0.000000,0.000000,1.000000,2.000000,352.294740,300.527271,179.262362,131.991009,calls/second,milliseconds
1439799257,38848,2.000000,0.018482,0.000000,0.154922,0.000000,0.000000,0.000000,0.000000,1.000000,2.000000,352.320117,300.527271,179.262362,131.991009,calls/second,milliseconds
1439799258,39425,2.000000,0.018482,0.000000,0.154922,0.000000,0.000000,0.000000,0.000000,1.000000,2.000000,355.176408,300.527271,179.262362,131.991009,calls/second,milliseconds
1439799259,40058,2.000000,0.018482,0.000000,0.154922,0.000000,0.000000,0.000000,0.000000,1.000000,2.000000,357.643042,300.527271,179.262362,131.991009,calls/second,milliseconds
1439799260,40592,2.000000,0.020428,0.000000,0.160849,0.000000,0.000000,0.000000,0.000000,1.000000,2.000000,359.212186,300.527271,179.262362,131.991009,calls/second,milliseconds
1439799261,40646,2.000000,0.020428,0.000000,0.160849,0.000000,0.000000,0.000000,0.000000,1.000000,2.000000,355.098755,300.527271,179.262362,131.991009,calls/second,milliseconds
1439799262,41183,2.000000,0.019455,0.000000,0.157916,0.000000,0.000000,0.000000,0.000000,1.000000,2.000000,358.109088,314.941083,184.246341,133.923464,calls/second,milliseconds
1439799263,41850,2.000000,0.015564,0.000000,0.138678,0.000000,0.000000,0.000000,0.000000,1.000000,2.000000,360.772667,314.941083,184.246341,133.923464,calls/second,milliseconds
1439799264,42314,2.000000,0.015564,0.000000,0.138678,0.000000,0.000000,0.000000,0.000000,1.000000,2.000000,361.650342,314.941083,184.246341,133.923464,calls/second,milliseconds
1439799266,42435,2.000000,0.013619,0.000000,0.124071,0.000000,0.000000,0.000000,0.000000,1.000000,1.971000,355.192834,314.941083,184.246341,133.923464,calls/second,milliseconds
1439799266,42446,2.000000,0.012646,0.000000,0.120190,0.000000,0.000000,0.000000,0.000000,1.000000,1.971000,355.237399,314.941083,184.246341,133.923464,calls/second,milliseconds
1439799267,42872,2.000000,0.012646,0.000000,0.120190,0.000000,0.000000,0.000000,0.000000,1.000000,1.971000,357.253943,316.800763,186.790971,135.055187,calls/second,milliseconds
1439799268,43589,2.000000,0.013619,0.000000,0.124071,0.000000,0.000000,0.000000,0.000000,1.000000,1.971000,360.236688,316.800763,186.790971,135.055187,calls/second,milliseconds
1439799270,44006,2.000000,0.013619,0.000000,0.124071,0.000000,0.000000,0.000000,0.000000,1.000000,1.971000,356.040184,316.800763,186.790971,135.055187,calls/second,milliseconds
1439799270,44010,2.000000,0.013619,0.000000,0.124071,0.000000,0.000000,0.000000,0.000000,1.000000,1.971000,356.037154,316.800763,186.790971,135.055187,calls/second,milliseconds
1439799271,44424,2.000000,0.015564,0.000000,0.138678,0.000000,0.000000,0.000000,0.000000,1.000000,2.000000,358.251007,316.800763,186.790971,135.055187,calls/second,milliseconds
1439799272,45148,2.000000,0.016537,0.000000,0.142036,0.000000,0.000000,0.000000,0.000000,1.000000,2.000000,361.180564,327.866555,191.227382,136.828838,calls/second,milliseconds
1439799273,45671,2.000000,0.015564,0.000000,0.138678,0.000000,0.000000,0.000000,0.000000,1.000000,2.000000,362.461665,327.866555,191.227382,136.828838,calls/second,milliseconds
1439799279,45836,2.000000,0.014591,0.000000,0.135231,0.000000,0.000000,0.000000,0.000000,1.000000,2.000000,346.144598,312.525753,190.314554,136.824246,calls/second,milliseconds
1439799279,45857,2.000000,0.014591,0.000000,0.135231,0.000000,0.000000,0.000000,0.000000,1.000000,2.000000,346.255393,312.525753,190.314554,136.824246,calls/second,milliseconds
1439799279,45875,2.000000,0.014591,0.000000,0.135231,0.000000,0.000000,0.000000,0.000000,1.000000,2.000000,346.352029,312.525753,190.314554,136.824246,calls/second,milliseconds
1439799279,45884,2.000000,0.014591,0.000000,0.135231,0.000000,0.000000,0.000000,0.000000,1.000000,2.000000,346.386890,312.525753,190.314554,136.824246,calls/second,milliseconds
1439799279,45887,2.000000,0.014591,0.000000,0.135231,0.000000,0.000000,0.000000,0.000000,1.000000,2.000000,346.382906,312.525753,190.314554,136.824246,calls/second,milliseconds
1439799279,45897,2.000000,0.014591,0.000000,0.135231,0.000000,0.000000,0.000000,0.000000,1.000000,2.000000,346.431159,312.525753,190.314554,136.824246,calls/second,milliseconds
1439799280,46342,2.000000,0.015564,0.000000,0.138678,0.000000,0.000000,0.000000,0.000000,1.000000,2.000000,348.432869,312.525753,190.314554,136.824246,calls/second,milliseconds
1439799281,46995,2.000000,0.017510,0.000000,0.145309,0.000000,0.000000,0.000000,0.000000,1.000000,2.000000,350.703888,312.525753,190.314554,136.824246,calls/second,milliseconds
1439799282,47505,2.000000,0.017510,0.000000,0.145309,0.000000,0.000000,0.000000,0.000000,1.000000,2.000000,351.882665,314.370667,192.715911,137.925494,calls/second,milliseconds
1439799284,47917,2.000000,0.017510,0.000000,0.145309,0.000000,0.000000,0.000000,0.000000,1.000000,2.000000,348.444826,314.370667,192.715911,137.925494,calls/second,milliseconds
1439799284,47921,2.000000,0.017510,0.000000,0.145309,0.000000,0.000000,0.000000,0.000000,1.000000,2.000000,348.447732,314.370667,192.715911,137.925494,calls/second,milliseconds
1439799285,48404,2.000000,0.018482,0.000000,0.148504,0.000000,0.000000,0.000000,0.000000,1.000000,2.000000,350.749856,314.370667,192.715911,137.925494,calls/second,milliseconds
1439799286,49232,2.000000,0.018482,0.000000,0.148504,0.000000,0.000000,0.000000,0.000000,1.000000,2.000000,354.183899,314.370667,192.715911,137.925494,calls/second,milliseconds
1439799287,49851,2.000000,0.018482,0.000000,0.148504,0.000000,0.000000,0.000000,0.000000,1.000000,2.000000,356.074920,326.734146,197.282485,139.759697,calls/second,milliseconds
1439799290,49963,2.000000,0.019455,0.000000,0.151625,0.000000,0.000000,0.000000,0.000000,1.000000,2.000000,348.753266,326.734146,197.282485,139.759697,calls/second,milliseconds
1439799290,49970,2.000000,0.019455,0.000000,0.151625,0.000000,0.000000,0.000000,0.000000,1.000000,2.000000,348.761854,326.734146,197.282485,139.759697,calls/second,milliseconds
1439799290,49975,2.000000,0.019455,0.000000,0.151625,0.000000,0.000000,0.000000,0.000000,1.000000,2.000000,348.763775,326.734146,197.282485,139.759697,calls/second,milliseconds
1439799291,50632,3.000000,0.021401,0.000000,0.175215,0.000000,0.000000,0.000000,0.000000,1.000000,2.971000,351.606512,326.734146,197.282485,139.759697,calls/second,milliseconds
1439799292,51314,3.000000,0.021401,0.000000,0.175215,0.000000,0.000000,0.000000,0.000000,1.000000,2.971000,353.885925,324.020922,198.861251,140.607564,calls/second,milliseconds
1439799293,51866,3.000000,0.020428,0.000000,0.172532,0.000000,0.000000,0.000000,0.000000,1.000000,2.971000,355.237856,324.020922,198.861251,140.607564,calls/second,milliseconds
1439799297,52321,3.000000,0.020428,0.000000,0.172532,0.000000,0.000000,0.000000,0.000000,1.000000,2.971000,349.585906,324.020922,198.861251,140.607564,calls/second,milliseconds
1439799297,52325,3.000000,0.020428,0.000000,0.172532,0.000000,0.000000,0.000000,0.000000,1.000000,2.971000,349.584824,324.020922,198.861251,140.607564,calls/second,milliseconds
1439799297,52331,3.000000,0.020428,0.000000,0.172532,0.000000,0.000000,0.000000,0.000000,1.000000,2.971000,349.589389,324.020922,198.861251,140.607564,calls/second,milliseconds
1439799297,52665,3.000000,0.021401,0.000000,0.175215,0.000000,0.000000,0.000000,0.000000,1.000000,2.971000,351.098395,319.717638,200.040377,141.325525,calls/second,milliseconds
1439799298,53442,3.000000,0.020428,0.000000,0.166793,0.000000,0.000000,0.000000,0.000000,1.000000,2.971000,353.911322,319.717638,200.040377,141.325525,calls/second,milliseconds
1439799299,53973,3.000000,0.020428,0.000000,0.166793,0.000000,0.000000,0.000000,0.000000,1.000000,2.971000,355.082780,319.717638,200.040377,141.325525,calls/second,milliseconds
1439799300,54557,3.000000,0.024319,0.000000,0.188243,0.000000,0.000000,0.000000,0.420000,1.000000,2.971000,356.573729,319.717638,200.040377,141.325525,calls/second,milliseconds
1439799303,54805,3.000000,0.024319,0.000000,0.188243,0.000000,0.000000,0.000000,0.420000,1.000000,2.971000,350.931373,328.327445,203.798301,142.910422,calls/second,milliseconds
1439799303,54816,3.000000,0.024319,0.000000,0.188243,0.000000,0.000000,0.000000,0.420000,1.000000,2.971000,350.973413,328.327445,203.798301,142.910422,calls/second,milliseconds
1439799303,54832,3.000000,0.024319,0.000000,0.188243,0.000000,0.000000,0.000000,0.420000,1.000000,2.971000,351.051091,328.327445,203.798301,142.910422,calls/second,milliseconds
